"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-15",,,,,,,"0.02",",,0,0800",,,"0.0","T,,0,","37",",,0","29",",,0","31",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-16",,,,,,,"0.45",",,0,0800","0.0","P,,0,","0.0","P,,0,","42",",,0","25",",,0","35",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-17",,,,,,,"0.29",",,0,0800","0.0","P,,0,","0.0","P,,0,","43",",,0","35",",,0","37",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-18",,,,,,,"0.00","T,,0,0800","0.0","P,,0,","0.0","P,,0,","47",",,0","31",",,0","32",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-19",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","45",",,0","21",",,0","23",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-20",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","42",",,0","22",",,0","25",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-21",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","39",",,0","19",",,0","22",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-22",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","40",",,0","22",",,0","22",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-23",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","41",",,0","23",",,0","24",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-24",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","33",",,0","17",",,0","21",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-25",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","43",",,0","16",",,0","19",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-26",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","41",",,0","19",",,0","23",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-27",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","37",",,0","21",",,0","24",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-28",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","41",",,0","22",",,0","27",",,0,0800",,,,,,,,,,,,
